track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,genre_id,tempo_normalized,loudness_normalized,mood_score,transition_score,calm,happy,energetic,sad,dark,romantic,focus,hype
7zsOPNx7y9RQjk8Dj1MLgM,Oleg Pogudin,Русское танго,Голубые глаза,1,264829,0,0.462,0.298,2,-10.235,1,0.0386,0.741,9.78e-05,0.3,0.553,125.773,4,romance,93,0.4483374927288761,0.711147624356943,0.4255,0.5404950390286064,0.4,0.3,0.2,0.1,0.0,0.8,0.3,0.1
7IJHVzwzDHJlb6eSP7dZ0h,Shaman's Harvest,Red Hands Black Deeds,Off The Tracks,26,192360,1,0.624,0.931,11,-4.184,0,0.0519,0.00933,5.96e-05,0.297,0.453,99.983,4,grunge,44,0.3273553750023455,0.8295092228546838,0.6920000000000001,0.5936215326190099,0.1,0.1,0.9,0.6,0.8,0.0,0.2,0.7
6ixdUoTo8A2lXWVepTZnVA,Porsche Love,Genesis,Why Did I Answer?,52,98480,0,0.612,0.436,11,-11.246,1,0.0465,0.208,0.0,0.0905,0.111,91.948,4,sad,94,0.2896628074981704,0.6913717896054613,0.2735,0.5310115323678772,0.2,0.1,0.4,0.7,0.3,0.2,0.3,0.3
5AkV53fo1u01mi8r22JNeF,Ardhito Pramono;Aurélie,I Just Couldn't Save You Tonight (feat. Aurélie) [Story of Kale - Original Motion Picture Soundtrack],I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack,71,219600,0,0.372,0.322,7,-9.831,1,0.0398,0.851,1.02e-06,0.108,0.152,85.064,4,j-pop,62,0.2573696357870639,0.7190501339905718,0.237,0.4494732565925452,0.6,0.2,0.1,0.3,0.1,0.5,0.7,0.0
3bjfZcKL5HZOahNAA6v5zw,Tommyknocker,Criminal,Criminal,26,343978,1,0.577,0.918,6,-5.424,0,0.293,0.0355,0.0272,0.137,0.351,164.039,4,techno,109,0.6278451203722815,0.8052539952663185,0.6345000000000001,0.6700330385462,0.05,0.1,0.9,0.4,0.8,0.0,0.3,0.85
2bTXRVUA8793Ws3ndWE1DI,Wisp;M.E.R.S,Mechanic Paradox,Negions Fail - M.E.R.S Remix,13,286907,0,0.333,0.893,9,-5.301,0,0.105,0.0055,0.0212,0.398,0.0661,89.919,4,idm,54,0.2801446719081304,0.807659957357745,0.47955,0.4736015430886251,0.1,0.0,0.8,0.3,0.7,0.0,0.6,0.5
2P7cdwIoEMAl3qavXponC2,Trio Parada Dura,"Coleção Ouca, Toque E Cante - Sertanejo",Panela Velha,44,182360,0,0.745,0.675,5,-7.237,1,0.0655,0.576,0.0,0.184,0.917,138.19,4,sertanejo,97,0.5065862308370704,0.7697905052520391,0.796,0.6737922453630366,0.1,0.8,0.7,0.0,0.0,0.2,0.2,0.7
3kRp8K3v9w5lSrc62p1Qmv,Jorge Aragão,Todas,Abuso de poder,40,228240,0,0.72,0.725,1,-8.946,1,0.0371,0.808,0.0264,0.128,0.973,158.015,4,mpb,74,0.5995862496012608,0.736361324648397,0.849,0.6853158580832193,0.1,0.9,0.8,0.0,0.0,0.3,0.2,0.7
0Qo6ENwrR9bj9nKWEuNslx,Kate Bush,80's,Babooshka,0,209933,0,0.47,0.439,8,-8.892,1,0.0322,0.741,1.64e-05,0.0707,0.287,108.037,4,singer-songwriter,99,0.3651370724110108,0.7374176006885353,0.363,0.524184891033182,0.3,0.1,0.4,0.6,0.7,0.2,0.5,0.1
4DwWLKys3e3SRuJovxX7hz,Michael Bublé,Perfect Christmas Hits,It's Beginning to Look a Lot Like Christmas,1,206346,0,0.335,0.232,4,-11.042,1,0.0334,0.908,8.89e-06,0.292,0.381,93.391,3,j-pop,62,0.2964319891918263,0.6953621657570955,0.3065,0.4422647183163072,0.7,0.8,0.2,0.1,0.0,0.4,0.3,0.1
