track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,genre_id,tempo_normalized,loudness_normalized,mood_score,transition_score,calm,happy,energetic,sad,dark,romantic,focus,hype
5SuOikwiRyPMVoIQDJUgSV,Gen Hoshino,Comedy,Comedy,73,230666,0,0.676,0.461,1,-6.746,0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,4,acoustic,0,0.2707531946034188,0.7793947929503354,0.588,0.5753826625179181,0.2,0.7,0.4,0.1,0.1,0.2,0.3,0.3
4qPNDBW1i3p13qLCt0Ki3A,Ben Woodward,Ghost (Acoustic),Ghost - Acoustic,55,149610,0,0.42,0.166,1,-17.235,1,0.0763,0.924,5.56e-06,0.101,0.267,77.489,4,acoustic,0,0.2218349501810744,0.5742229524871388,0.2165,0.4053526342227377,0.8,0.3,0.1,0.2,0.1,0.3,0.7,0.0
1iJBSr7s7jYXzM8EGcbK5b,Ingrid Michaelson;ZAYN,To Begin Again,To Begin Again,57,210826,0,0.438,0.359,0,-9.734,1,0.0557,0.21,0.0,0.117,0.12,76.332,4,acoustic,0,0.2164074081023773,0.7209475187293389,0.2395,0.4584516422772388,0.4,0.2,0.2,0.3,0.1,0.3,0.4,0.1
6lfxq3CG4xtTiEg7opyCyx,Kina Grannis,Crazy Rich Asians (Original Motion Picture Soundtrack),Can't Help Falling In Love,71,201933,0,0.266,0.0596,0,-18.515,1,0.0363,0.905,7.07e-05,0.132,0.143,181.74,3,acoustic,0,0.7108813540239807,0.5491852982023746,0.1013,0.5086888840754518,0.8,0.3,0.1,0.2,0.1,0.7,0.6,0.0
5vjLSffimiIP26QG5WcN2K,Chord Overstreet,Hold On,Hold On,82,198853,0,0.618,0.443,2,-9.681,1,0.0526,0.469,0.0,0.0829,0.167,119.949,4,acoustic,0,0.4210168314788057,0.7219842341020676,0.305,0.5870003551936245,0.3,0.4,0.5,0.2,0.1,0.3,0.4,0.2
01MVOl9KtVTNfFiBU9I7dc,Tyrone Wells,Days I Will Remember,Days I Will Remember,58,214240,0,0.688,0.481,6,-8.807,1,0.105,0.289,0.0,0.189,0.666,98.017,4,acoustic,0,0.3181327754114048,0.739080257418383,0.5735,0.5817376776099292,0.3,0.7,0.4,0.1,0.1,0.5,0.3,0.2
6Vc5wAMmXdKIAM7WUoEb7N,A Great Big World;Christina Aguilera,Is There Anybody Out There?,Say Something,74,229400,0,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,3,acoustic,0,0.5211003321261704,0.7387868474072335,0.1117499999999999,0.5556290598444679,0.7,0.1,0.1,0.6,0.1,0.3,0.4,0.0
1EzrEOXmMH3G43AXT1y7pA,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,80,242946,0,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,4,acoustic,0,0.566490908749742,0.7288304676955578,0.578,0.6661071254817665,0.2,0.9,0.7,0.0,0.0,0.4,0.1,0.6
0IktbUcnAGrvD03AWnz3Q8,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,74,189613,0,0.625,0.414,0,-8.7,1,0.0369,0.294,0.0,0.151,0.669,130.088,4,acoustic,0,0.468579363143377,0.7411732488312501,0.5415,0.6115842039915423,0.3,0.8,0.6,0.1,0.0,0.5,0.2,0.4
7k9GuJYLp2AzqokyEdwEw2,Ross Copperman,Hunger,Hunger,56,205594,0,0.442,0.632,1,-6.77,1,0.0295,0.426,0.00419,0.0735,0.196,78.899,4,acoustic,0,0.2284493273037734,0.778925336932496,0.414,0.4831248880787565,0.3,0.2,0.4,0.3,0.1,0.1,0.5,0.1
4mzP5mHkRvGxdhdGdAH7EJ,Zack Tabudlo,Episode,Give Me Your Forever,74,244800,0,0.627,0.363,8,-8.127,1,0.0291,0.279,0.0,0.0928,0.301,99.905,4,acoustic,0,0.3269894732891749,0.752381511257164,0.3319999999999999,0.568790328182113,0.3,0.5,0.4,0.1,0.0,0.6,0.3,0.2
5ivF4eQBqJiVL5IAE9jRyl,Jason Mraz,Love Is a Four Letter Word,I Won't Give Up,69,240165,0,0.483,0.303,4,-10.058,1,0.0429,0.694,0.0,0.115,0.139,133.406,3,acoustic,0,0.4841442590959413,0.7146098624885081,0.221,0.5605847071948165,0.3,0.6,0.4,0.1,0.0,0.2,0.5,0.1
4ptDJbJl35d7gQfeNteBwp,Dan Berk,Solo,Solo,52,198712,0,0.489,0.314,7,-9.245,0,0.0331,0.749,0.0,0.113,0.607,124.234,4,acoustic,0,0.4411179704651642,0.7305126850928154,0.4605,0.5535435518526599,0.4,0.5,0.3,0.6,0.2,0.4,0.5,0.1
0X9MxHR1rTkEHDjp95F2OO,Anna Hamilton,Bad Liar,Bad Liar,62,248448,0,0.691,0.234,3,-6.441,1,0.0285,0.777,0.0,0.12,0.209,87.103,4,acoustic,0,0.2669346818531514,0.7853607965103768,0.2215,0.5810984927878428,0.6,0.3,0.2,0.3,0.1,0.4,0.5,0.1
